Date,Close,High,Low,Open,Volume,Pct_Change,upper_shadow_ratio,lower_shadow_ratio,price_diff_ratio,Vol_Pct_Change,RSI_7,RSI_14,DIF,DEA,MACD,^VIX
2023-11-13,373.48,374.54,371.53,373.06,40733500,-0.31,0.35,0.51,0.0,-30.14,72.23,63.49,3.4,0.74,5.31,14.76
2023-11-14,381.52,382.44,379.39,379.92,67792600,2.15,0.3,0.17,0.0,66.43,79.81,68.9,4.51,1.49,6.02,14.16
2023-11-15,381.81,383.92,380.44,383.42,54141400,0.08,0.14,0.39,-0.0,-20.14,80.04,69.08,5.35,2.26,6.16,14.18
2023-11-16,382.13,382.37,379.77,381.03,45343500,0.09,0.09,0.49,0.0,-16.25,80.33,69.29,5.97,3.0,5.93,14.32
2023-11-17,382.22,383.24,380.49,381.4,46571900,0.02,0.37,0.33,0.0,2.71,80.43,69.35,6.4,3.68,5.43,13.8
2023-11-20,386.88,387.54,382.23,382.23,44429600,1.22,0.13,0.0,0.01,-4.6,84.76,72.48,7.03,4.35,5.35,13.41
2023-11-21,384.63,385.38,382.88,385.16,43337000,-0.58,0.09,0.7,-0.0,-2.46,75.36,68.83,7.27,4.93,4.66,13.35
2023-11-22,386.2,389.18,385.19,386.71,44121000,0.41,0.62,0.25,-0.0,1.81,77.41,69.97,7.49,5.45,4.09,12.85
2023-11-24,385.66,386.39,384.66,385.8,15718800,-0.14,0.34,0.58,-0.0,-64.37,74.9,69.03,7.54,5.87,3.36,12.46
2023-11-27,385.32,387.28,384.44,385.16,34139700,-0.09,0.69,0.25,0.0,117.19,73.19,68.41,7.47,6.19,2.57,12.69
2023-11-28,386.33,386.92,384.21,384.57,35491100,0.26,0.22,0.13,0.0,3.96,75.17,69.29,7.41,6.43,1.95,12.69
2023-11-29,385.96,390.24,385.61,388.81,38811700,-0.1,0.31,0.07,-0.01,9.36,72.83,68.53,7.24,6.59,1.3,12.98
2023-11-30,384.99,386.69,382.01,386.22,52834400,-0.25,0.1,0.64,-0.0,36.13,66.58,66.48,6.96,6.67,0.58,12.92
2023-12-01,386.08,386.68,382.25,383.92,40440500,0.29,0.13,0.38,0.01,-23.46,69.98,67.66,6.74,6.68,0.12,12.63
2023-12-04,382.5,382.78,378.88,382.27,51186900,-0.93,0.07,0.87,0.0,26.57,50.44,60.24,6.21,6.59,-0.76,13.08
2023-12-05,383.46,384.66,380.41,380.59,42933000,0.25,0.28,0.04,0.01,-16.13,54.42,61.46,5.8,6.43,-1.27,12.85
2023-12-06,381.24,386.51,380.9,386.41,41994100,-0.58,0.02,0.06,-0.01,-2.19,44.74,57.1,5.23,6.19,-1.92,12.97
2023-12-07,386.57,387.4,383.13,384.23,49593500,1.4,0.19,0.26,0.01,18.1,63.12,63.75,5.15,5.98,-1.66,13.06
2023-12-08,388.29,388.74,384.64,384.83,46623600,0.45,0.11,0.05,0.01,-5.99,67.23,65.6,5.17,5.82,-1.3,12.35
2023-12-11,391.61,391.88,387.66,387.87,41198000,0.85,0.06,0.05,0.01,-11.64,73.79,68.91,5.39,5.73,-0.69,12.63
2023-12-12,394.73,394.85,390.51,391.65,39221200,0.8,0.03,0.26,0.01,-4.8,78.52,71.66,5.75,5.74,0.03,12.07
2023-12-13,399.75,400.36,394.9,395.67,55408100,1.27,0.11,0.14,0.01,41.27,83.95,75.43,6.37,5.86,1.01,12.19
2023-12-14,399.4,402.28,396.38,400.98,55447800,-0.09,0.22,0.51,-0.0,0.07,82.27,74.7,6.75,6.04,1.42,12.48
2023-12-15,401.33,402.52,399.58,400.18,62598000,0.48,0.4,0.21,0.0,12.9,84.31,76.1,7.13,6.26,1.74,12.28
2023-12-18,403.86,404.76,401.4,401.73,46610000,0.63,0.27,0.1,0.01,-25.54,86.65,77.84,7.54,6.51,2.06,12.56
2023-12-19,405.92,406.04,404.13,404.32,35711900,0.51,0.06,0.1,0.0,-23.38,88.31,79.17,7.95,6.8,2.29,12.53
2023-12-20,399.89,407.22,399.71,405.12,54042400,-1.49,0.28,0.02,-0.01,51.33,62.0,66.59,7.69,6.98,1.43,13.67
2023-12-21,404.54,404.91,401.27,403.84,45568900,1.16,0.1,0.71,0.0,-15.68,70.04,70.48,7.78,7.14,1.27,13.65
2023-12-22,405.15,406.73,403.26,405.76,34292400,0.15,0.28,0.54,-0.0,-24.75,70.97,70.96,7.8,7.27,1.06,13.03
2023-12-26,407.63,408.3,405.91,406.01,22722500,0.61,0.28,0.04,0.0,-33.74,74.72,72.88,7.93,7.4,1.05,12.99
2023-12-27,408.46,408.75,407.05,407.91,31980500,0.2,0.17,0.51,0.0,40.74,75.94,73.51,8.01,7.52,0.97,12.43
2023-12-28,408.26,409.87,407.9,409.62,27029200,-0.05,0.13,0.18,-0.0,-15.48,74.93,73.07,7.96,7.61,0.7,12.47
2023-12-29,406.49,408.6,404.57,408.24,42633400,-0.43,0.09,0.48,-0.0,57.73,65.88,69.12,7.69,7.63,0.13,12.45
2024-01-02,399.62,403.09,397.28,402.84,58026900,-1.69,0.04,0.4,-0.01,36.11,42.53,56.34,6.84,7.47,-1.25,13.2
2024-01-03,395.39,398.04,394.95,396.98,47002800,-1.06,0.34,0.14,-0.0,-19.0,33.91,50.19,5.77,7.13,-2.73,14.04
2024-01-04,393.35,396.64,393.13,393.51,39432800,-0.51,0.89,0.06,-0.0,-16.11,30.45,47.51,4.69,6.64,-3.9,14.13
2024-01-05,393.82,396.61,392.42,393.52,44867900,0.12,0.67,0.26,0.0,13.78,32.3,48.19,3.84,6.08,-4.49,13.35
2024-01-08,401.96,402.25,394.9,395.05,42473800,2.07,0.04,0.02,0.02,-5.34,56.08,58.39,3.77,5.62,-3.7,13.08
2024-01-09,402.75,403.69,398.74,398.94,39132900,0.2,0.19,0.04,0.01,-7.87,57.76,59.23,3.74,5.24,-3.01,12.76
2024-01-10,405.48,406.49,402.18,403.07,33962800,0.68,0.23,0.21,0.01,-13.21,63.41,62.07,3.89,4.97,-2.17,12.69
2024-01-11,406.33,408.16,401.25,406.76,54536200,0.21,0.2,0.73,-0.0,60.58,65.09,62.93,4.03,4.78,-1.51,12.44
2024-01-12,406.53,408.21,405.13,407.37,39581400,0.05,0.27,0.45,-0.0,-27.42,65.54,63.16,4.11,4.65,-1.08,12.7
2024-01-16,406.49,408.08,403.82,405.29,43903000,-0.01,0.37,0.34,0.0,10.92,65.35,63.08,4.12,4.54,-0.84,13.84
2024-01-17,404.2,404.58,399.94,403.17,54386000,-0.56,0.08,0.7,0.0,23.88,54.68,58.6,3.91,4.42,-1.02,14.79
2024-01-18,409.94,410.52,406.14,407.49,59562500,1.42,0.13,0.31,0.01,9.52,69.31,65.25,4.15,4.36,-0.43,14.13
2024-01-19,418.07,418.23,411.57,412.15,70268500,1.98,0.02,0.09,0.01,17.97,79.99,72.09,4.94,4.48,0.92,13.3
2024-01-22,418.61,421.59,418.01,420.28,44880600,0.13,0.37,0.17,-0.0,-36.13,80.52,72.48,5.54,4.69,1.71,13.19
2024-01-23,420.35,420.57,417.46,419.31,33003800,0.41,0.07,0.59,0.0,-26.46,82.27,73.75,6.09,4.97,2.25,12.55
2024-01-24,422.68,426.67,422.19,424.28,46948000,0.55,0.53,0.11,-0.0,42.25,84.45,75.38,6.64,5.31,2.67,13.14
2024-01-25,423.2,425.87,420.85,425.2,44367200,0.12,0.13,0.47,-0.0,-5.5,84.93,75.74,7.04,5.65,2.77,13.45
2024-01-26,420.68,423.06,420.02,421.3,37137000,-0.6,0.58,0.22,-0.0,-16.3,72.24,70.33,7.07,5.93,2.26,13.26
2024-01-29,424.99,425.19,420.48,421.14,38694700,1.02,0.04,0.14,0.01,4.19,78.61,73.78,7.35,6.22,2.27,13.6
2024-01-30,422.16,424.52,421.24,423.94,36739000,-0.67,0.18,0.28,-0.0,-5.05,66.86,68.18,7.26,6.43,1.67,13.31
2024-01-31,413.89,419.75,413.71,417.74,64010600,-1.96,0.33,0.03,-0.01,74.23,44.28,55.03,6.45,6.43,0.04,14.35
2024-02-01,418.76,419.26,414.72,415.7,51008600,1.18,0.11,0.21,0.01,-20.31,54.78,59.94,6.14,6.37,-0.48,13.88
2024-02-02,425.84,427.06,419.67,420.67,59582300,1.69,0.17,0.14,0.01,16.81,65.72,65.77,6.38,6.37,0.01,13.85
2024-02-05,425.28,426.44,421.86,425.9,39889200,-0.13,0.12,0.75,-0.0,-33.05,64.3,64.97,6.45,6.39,0.13,13.67
2024-02-06,424.43,427.04,422.08,426.44,35846100,-0.2,0.12,0.47,-0.0,-10.14,61.89,63.69,6.37,6.39,-0.03,13.06
2024-02-07,428.8,429.63,425.92,427.23,37712700,1.03,0.22,0.35,0.0,5.21,68.85,67.25,6.58,6.43,0.31,12.83
2024-02-08,429.59,430.36,428.23,428.92,29889900,0.19,0.36,0.32,0.0,-20.74,70.01,67.87,6.73,6.49,0.5,12.79
2024-02-09,433.82,434.62,429.94,430.73,36943900,0.98,0.17,0.17,0.01,23.6,75.65,71.0,7.12,6.61,1.01,12.93
2024-02-12,432.12,435.9,431.44,433.71,33203300,-0.39,0.49,0.15,-0.0,-10.13,69.53,68.13,7.2,6.73,0.93,13.93
2024-02-13,425.38,428.08,422.19,424.12,64491700,-1.56,0.46,0.33,0.0,94.23,50.57,58.08,6.64,6.71,-0.14,15.85
2024-02-14,430.02,430.45,425.71,428.07,45092700,1.09,0.09,0.5,0.0,-30.08,59.44,62.21,6.5,6.67,-0.34,14.38
2024-02-15,431.3,431.77,428.14,430.71,38796100,0.3,0.13,0.71,0.0,-13.96,61.66,63.29,6.42,6.62,-0.4,14.01
2024-02-16,427.39,431.78,426.67,431.68,53661500,-0.91,0.02,0.14,-0.01,38.32,51.6,57.87,5.97,6.49,-1.04,14.24
2024-02-20,424.16,426.9,420.37,425.38,53999500,-0.75,0.23,0.58,-0.0,0.63,44.6,53.78,5.29,6.25,-1.92,15.42
2024-02-21,422.47,422.55,418.52,421.41,50179700,-0.4,0.02,0.72,0.0,-7.07,41.17,51.71,4.56,5.91,-2.7,15.34
2024-02-22,434.83,435.88,430.51,431.28,53887800,2.93,0.19,0.14,0.01,7.39,64.42,62.91,4.93,5.72,-1.57,14.54
2024-02-23,433.55,437.33,432.57,436.4,39853900,-0.29,0.2,0.21,-0.01,-26.04,61.49,61.33,5.06,5.58,-1.05,13.75
2024-02-26,433.32,435.36,433.14,434.37,33043200,-0.05,0.45,0.08,-0.0,-17.09,60.91,61.03,5.08,5.48,-0.8,13.74
2024-02-27,434.37,434.75,431.82,434.44,33713200,0.24,0.11,0.87,-0.0,2.03,62.77,61.93,5.13,5.41,-0.57,13.43
2024-02-28,432.05,433.44,431.09,432.21,32938800,-0.53,0.52,0.41,-0.0,-2.3,55.88,58.69,4.92,5.31,-0.79,13.84
2024-02-29,435.76,436.84,431.81,434.99,42495200,0.86,0.21,0.63,0.0,29.01,63.39,62.11,4.99,5.25,-0.51,13.4
2024-03-01,442.32,443.28,436.59,436.65,43809200,1.51,0.14,0.01,0.01,3.09,72.91,67.28,5.52,5.3,0.43,13.11
2024-03-04,440.74,442.74,440.49,442.32,34325700,-0.36,0.19,0.11,-0.0,-21.65,67.95,64.99,5.74,5.39,0.7,13.49
2024-03-05,432.83,437.69,430.45,437.68,57917100,-1.79,0.0,0.33,-0.01,68.73,48.61,54.87,5.22,5.36,-0.27,14.46
2024-03-06,435.55,438.72,433.66,437.07,46234500,0.63,0.33,0.37,-0.0,-20.17,53.87,57.33,4.97,5.28,-0.62,14.5
2024-03-07,442.16,443.42,437.6,439.15,44526700,1.52,0.22,0.27,0.01,-3.69,64.26,62.66,5.24,5.27,-0.06,14.44
2024-03-08,435.78,445.33,435.1,442.52,71954300,-1.44,0.27,0.07,-0.02,61.6,51.26,55.46,4.89,5.2,-0.61,14.74
2024-03-11,434.16,435.42,432.22,434.28,45860000,-0.37,0.36,0.61,-0.0,-36.27,48.37,53.77,4.43,5.04,-1.23,15.22
2024-03-12,440.38,440.74,433.24,436.48,55300900,1.43,0.05,0.43,0.01,20.59,58.8,58.94,4.51,4.94,-0.85,13.84
2024-03-13,437.0,439.4,435.88,439.38,37928700,-0.77,0.01,0.32,-0.01,-31.41,52.12,55.32,4.26,4.8,-1.09,13.75
2024-03-14,435.9,438.76,433.17,438.24,52195200,-0.25,0.09,0.49,-0.01,37.61,49.96,54.15,3.92,4.62,-1.41,14.4
2024-03-15,430.71,435.63,429.54,432.85,73038800,-1.19,0.46,0.19,-0.0,39.93,40.72,48.92,3.2,4.34,-2.28,14.41
2024-03-18,434.82,438.36,434.58,436.06,47323800,0.95,0.61,0.06,-0.0,-35.21,49.38,52.81,2.92,4.06,-2.27,14.33
2024-03-19,435.91,436.31,430.7,432.8,43004100,0.25,0.07,0.38,0.01,-9.13,51.56,53.81,2.76,3.8,-2.07,13.82
2024-03-20,441.07,441.41,435.4,437.11,43653500,1.19,0.06,0.28,0.01,1.51,60.92,58.34,3.02,3.64,-1.25,13.04
